test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
lr,,,1,0.0008999995770864189,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.0,1,6064463372350678533,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0013000026228837669,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.0,2,618620882724742596,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,0.04125395233416171,0.8390485165794092,1,0.11320000339765102,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.0,2,618620882724742596,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.0,2,618620882724742596,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.0,3,3213106130386463495,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,6.672579015208053e-05,0.9934824841742903,1,0.10199999815085903,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.0,3,3213106130386463495,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0007999988156370819,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.0,3,3213106130386463495,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.0,4,366215704169527932,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,0.42257773580171104,0.5156535987306592,1,0.10270000348100439,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.0,4,366215704169527932,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0010999938240274787,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.0,4,366215704169527932,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,0,6792682405325789226,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,0.47484752650476875,0.4907654918507327,1,0.09980000322684646,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.2,0,6792682405325789226,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0008999995770864189,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,0,6792682405325789226,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,1,1792349257383150438,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,0.22607452840021894,0.634449907405024,1,0.0954000061028637,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.2,1,1792349257383150438,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0007999988156370819,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,1,1792349257383150438,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0013000026228837669,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,2,6197872040948047977,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.02909999602707103,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,2,6197872040948047977,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0006999980541877449,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,2,6197872040948047977,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,3,4315009668537035068,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,3.0660710398805326,0.07994246504494698,1,0.10259999544359744,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.2,3,4315009668537035068,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0007999988156370819,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,3,4315009668537035068,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,4,1975660798051203898,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.026699999580159783,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,4,1975660798051203898,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.000800006091594696,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.2,4,1975660798051203898,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,0,6395358092358346078,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,0.005838072042683329,0.9390950799897145,1,0.09889999637380242,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.4,0,6395358092358346078,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,0,6395358092358346078,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,1,8483091276913857556,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.02729999687289819,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,1,8483091276913857556,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0008999995770864189,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,1,8483091276913857556,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,2,2129052306771605027,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,0.0081979537565829,0.9278560810385853,1,0.09800000407267362,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.4,2,2129052306771605027,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0008999995770864189,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,2,2129052306771605027,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0008999995770864189,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,3,6145105940930031627,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.025499997718725353,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,3,6145105940930031627,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0006999980541877449,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,3,6145105940930031627,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0011999945854768157,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,4,1122895897158027210,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,0.812414085973411,0.36740748665066303,1,0.09900000441120937,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,60,0.4,4,1122895897158027210,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,60,0.4,4,1122895897158027210,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,120,0.0,0,8132410800921299370,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
